Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
68,Integrated Science & Technology,Bachelors,65200,121100,56
69,Operations Management & Information Systems,Bachelors,66100,120900,38
70,Software Engineering,Bachelors,75000,120000,43
71,Physics,Bachelors,65900,119700,48
72,Quantitative Economics,Bachelors,65000,119600,43
73,Computer & Information Science,Bachelors,63600,119500,55
74,Geophysics,Bachelors,58000,119000,47
75,Accounting & Economics,Bachelors,65900,118900,44
76,Physician Assistant Studies,Bachelors,95900,118500,84
77,Mining Engineering,Bachelors,78800,118300,64
78,Construction Engineering Management,Bachelors,68800,118200,57
79,Mechanical Engineering (ME),Bachelors,71000,117600,50
80,Materials Science & Engineering,Bachelors,72700,117500,47
81,Engineering Mechanics,Bachelors,75500,117400,-
81,Industrial Engineering (IE),Bachelors,71900,117400,44
81,International Business & Finance,Bachelors,61400,117400,31
84,Accounting & Computer Systems,Bachelors,63000,117300,37
85,Business & Information Technology (IT),Bachelors,60100,116900,44
86,Applied Physics,Bachelors,67300,116500,52
87,International Economics,Bachelors,58700,116300,48
88,Business & Economics,Bachelors,59600,116200,46
89,Ceramic Engineering,Bachelors,69200,115700,-
89,Economics,Bachelors,62000,115700,41
89,Pharmaceutical Sciences (PS),Bachelors,52800,115700,69
92,Telecommunications Engineering,Bachelors,66400,115400,47
93,Information & Decision Sciences,Bachelors,65200,115200,33
93,Materials Engineering,Bachelors,72300,115200,58
93,Paper Science,Bachelors,77000,115200,39
96,Asian Studies,Bachelors,47700,115100,41
96,Structural Engineering (SE),Bachelors,67800,115100,66
98,Industrial Distribution,Bachelors,63600,115000,48
99,Management Information Systems (MIS),Bachelors,65000,114100,42
100,Electronics Engineering,Bachelors,69600,113900,66
100,Finance & Economics,Bachelors,62600,113900,42
102,Medical Science,Bachelors,52000,113800,-
102,Japanese Studies,Bachelors,51500,113800,21
102,Automotive Engineering,Bachelors,67300,113800,48
105,Information Management,Bachelors,64300,112800,38
106,Management Science,Bachelors,64600,112700,43
106,Mechanical,Bachelors,70200,112700,54
108,Construction Engineering,Bachelors,67300,112500,59
109,Finance & Investments,Bachelors,64100,112400,44
109,Mathematics & Statistics,Bachelors,63100,112400,43
111,Information Systems Management,Bachelors,59200,112300,49
112,Construction Project Management,Bachelors,61100,112200,58
112,Engineering Management,Bachelors,69000,112200,57
112,Packaging Science,Bachelors,70000,112200,35
115,Industrial Engineering & Management,Bachelors,68300,112000,55
116,Engineering Physics,Bachelors,70500,111800,50
117,Energy Management,Bachelors,72300,111700,71
118,Aeronautical Science,Bachelors,57700,111600,57
119,Government,Bachelors,55100,111200,47
120,Software Applications & Programming,Bachelors,59300,110800,45
121,Astrophysics,Bachelors,69300,110700,64
122,Bioenvironmental Science,Bachelors,47700,110500,-
123,Japanese Language,Bachelors,53300,110300,42
124,Business Economics,Bachelors,58400,110200,43
124,Finance & Real Estate,Bachelors,63000,110200,44
126,Manufacturing Engineering,Bachelors,69300,110000,47
127,Atmospheric Science,Bachelors,48700,109900,55
128,Cybersecurity,Bachelors,65600,109800,55
129,Information Security & Assurance,Bachelors,61400,109300,47
130,Medicine,Bachelors,60600,109200,92
131,Civil Engineering (CE),Bachelors,65000,109000,65
132,Environmental Health & Safety Management,Bachelors,61100,108800,61
133,Mathematics,Bachelors,63500,108700,45
134,Applied Economics,Bachelors,61400,108600,38
135,Construction Science,Bachelors,67400,108500,63
135,Political Communication,Bachelors,48800,108500,55
137,Marketing & International Business,Bachelors,52500,108400,34
137,Software Development,Bachelors,65500,108400,45
139,Biochemistry & Molecular Biology,Bachelors,53900,108100,71
140,Computing,Bachelors,63500,108000,53
140,Construction Management,Bachelors,63200,108000,58
142,Accounting & Taxation,Bachelors,55600,107800,41
142,Building Construction (BC),Bachelors,67200,107800,52
142,International & Comparative Politics,Bachelors,45700,107800,53
